what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1397936887815
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1397936887817
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1397936887830
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1397936887833
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1397936887837
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1397936887840
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1397936887843
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1397936887846
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1397936887856
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1397936887859
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1397936887859
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1397936887862
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1397936887896
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1397936887967
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1397936887971
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1397936887978
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1397936888041
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1397936888044
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1397936888046
os,sysinfo,,,"win32",1397936888060
arch,sysinfo,,,"x86_64",1397936888061
ws,sysinfo,,,"win32",1397936888061
locale,sysinfo,,,"en_US",1397936888061
processors,sysinfo,,,"4",1397936888061
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1397936888061
java.runtime.version,sysinfo,,,"1.7.0_17-b02",1397936888061
java.specification.name,sysinfo,,,"Java Platform API Specification",1397936888061
java.specification.vendor,sysinfo,,,"Oracle Corporation",1397936888061
java.specification.version,sysinfo,,,"1.7",1397936888061
java.vendor,sysinfo,,,"Oracle Corporation",1397936888061
java.version,sysinfo,,,"1.7.0_17",1397936888061
java.vm.info,sysinfo,,,"mixed mode",1397936888061
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1397936888061
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1397936888061
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1397936888061
java.vm.specification.version,sysinfo,,,"1.7",1397936888061
java.vm.vendor,sysinfo,,,"Oracle Corporation",1397936888061
java.vm.version,sysinfo,,,"23.7-b01",1397936888061
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1397936888109
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1397936890029
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1397936892097
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1397936892138
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1397936893233
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1397936893281
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1397936893378
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1397936893507
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1397936893646
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1397936893657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397936894149
